,iv30
ABBV,24.0
ACN,37.0
AEP,19.0
AIZ,32.0
ALLE,27.0
AMAT,47.0
AMP,31.0
AMZN,34.0
AVB,25.0
AVY,30.0
AXP,34.0
BDX,24.0
BF-B,31.6
BMY,22.0
BR,26.0
CARR,32.0
CDW,34.0
CE,33.0
CHTR,28.0
CNC,33.0
CNP,24.0
COP,40.0
CTAS,32.0
CZR,56.0
DG,33.0
DPZ,43.0
DRE,25.0
DXC,43.0
FB,41.0
FTV,28.0
GOOG,31.0
GPC,31.0
HIG,28.0
HST,28.0
JPM,30.0
KR,42.0
OGN,30.0
PG,21.0
PPL,22.0
PRU,32.3
PYPL,47.8
RE,29.0
ROL,44.0
ROST,42.0
UNH,26.0
URI,40.0
V,31.0
VRSK,28.0
WRK,31.0
XOM,33.6
IVV,24.3
IWM,30.0
EWU,25.3
EWG,32.0
EWL,17.0
EWQ,30.0
IEUS,10.0
EWJ,25.0
EWT,30.0
MCHI,31.5
INDA,19.2
EWY,29.096629213483144
EWA,25.0
EWH,32.0
EWZ,34.0
EWC,21.0
IEMG,26.0
LQD,8.5
HYG,10.0
SHY,3.3
IEF,8.3
TLT,17.4
SEGA.L,29.096629213483144
IEAA.L,29.096629213483144
HIGH.L,29.096629213483144
JPEA.L,29.096629213483144
IAU,16.6
SLV,25.0
GSG,27.0
REET,14.8
ICLN,38.0
IXN,25.0
IGF,16.0
IUVL.L,29.096629213483144
IUMO.L,29.096629213483144
SPMV.L,29.096629213483144
IEVL.L,29.096629213483144
IEFM.L,29.096629213483144
MVEU.L,29.096629213483144
XLK,31.1
XLF,26.9
XLV,19.5
XLE,33.0
XLY,32.7
XLI,21.7
XLC,26.0
XLU,12.7
XLP,18.0
XLB,23.6
VXX,105.9
